loca_2,centroid_lat,centroid_lng
LYNEHAM,-35.239749989153644,149.13067846061335
DICKSON,-35.252782716925836,149.14165167655202
O'CONNOR,-35.256599630256225,149.11559432503432
AINSLIE,-35.262180926215144,149.1479234747574
TURNER,-35.26888160548612,149.12453491545168
BRADDON,-35.270823991430746,149.1357204872397
ACTON,-35.28520393238954,149.11294329250057
CITY,-35.28126811627441,149.12918890085186
REID,-35.28260493269254,149.14118374758598
CAMPBELL,-35.291367925119005,149.1582101862857
RUSSELL,-35.29799737503915,149.15021876433664
DOWNER,-35.24386093480619,149.1435026624615
WATSON,-35.234833746666695,149.1594062643215
HACKETT,-35.24954872185282,149.1634773421488
PARKES,-35.29592896735631,149.13506942477568
YARRALUMLA,-35.30254031361618,149.09886813785357
CAPITAL HILL,-35.30817934486611,149.1244349059165
BARTON,-35.30731337215547,149.14044244983498
DEAKIN,-35.31919435629093,149.10316485955272
FORREST,-35.31721812011182,149.124828462393
KINGSTON,-35.3152338776776,149.14659156457438
NARRABUNDAH,-35.33569827134054,149.14923785807503
FYSHWICK,-35.321682548696224,149.17085020250727
GRIFFITH,-35.325336586826765,149.13713554943382
RED HILL,-35.333443635275444,149.1205635477771
PIALLIGO,-35.311536242296995,149.19056454952312
HUGHES,-35.33266352414872,149.09486310266536
CURTIN,-35.32463595990617,149.07736808494008
LYONS,-35.34055813751453,149.0739384466782
GARRAN,-35.34147356967218,149.10846636769284
PEARCE,-35.36221979884033,149.0833297696219
TORRENS,-35.37203970604579,149.08766584954603
MAWSON,-35.36334618851083,149.09854036909354
FARRER,-35.37670482244267,149.1049273669292
O'MALLEY,-35.352600732971744,149.11282224112833
ISAACS,-35.36866738068982,149.11557713001287
CHIFLEY,-35.353376489999896,149.07683937635613
PHILLIP,-35.347000106502044,149.09091308072468
WESTON,-35.332501614130074,149.05874547154275
WARAMANGA,-35.35289961610536,149.06213181288186
FISHER,-35.36123937575537,149.0568997504873
CHAPMAN,-35.35621085915553,149.03742482743195
RIVETT,-35.34708678872199,149.0379165003916
DUFFY,-35.33457514247419,149.0318953583684
HOLDER,-35.33447675400276,149.04615676031003
STIRLING,-35.349650439172926,149.04932712417911
GIRALANG,-35.21087725383969,149.09592673259746
KALEEN,-35.2277391508435,149.10917988999842
BRUCE,-35.24535538074604,149.09163190502517
ARANDA,-35.2580567469441,149.08041681020245
COOK,-35.2601058230366,149.06634275019266
MACQUARIE,-35.25112529762814,149.0632782031733
BELCONNEN,-35.235511892347176,149.06767247366153
FLOREY,-35.22579195949484,149.0501695022289
PAGE,-35.23855081596387,149.0499359979175
WEETANGERA,-35.25011260198647,149.04973505624093
HAWKER,-35.24702841781453,149.0366701818703
SCULLIN,-35.23453435257463,149.03907450683988
LATHAM,-35.21638796815998,149.031643759106
HIGGINS,-35.23240715244881,149.02723693293922
HOLT,-35.22440913688171,149.0119280170259
MACGREGOR,-35.209803955829955,149.01100917355907
CHARNWOOD,-35.20018762294618,149.03412963070446
FLYNN,-35.20577631060937,149.0441402308025
MELBA,-35.21008634106513,149.0541472128013
EVATT,-35.211822143624545,149.06896438083493
MCKELLAR,-35.21749291109073,149.07705832015273
SPENCE,-35.19873774720342,149.06437644921513
FRASER,-35.19170249654315,149.04533902082088
DUNLOP,-35.19400819781458,149.01980936055358
LAWSON,-35.22500493820928,149.08823437178668
KAMBAH,-35.38621952295795,149.0579379365916
WANNIASSA,-35.39773750816786,149.0907949764288
MONASH,-35.41576403955956,149.09063695008632
GOWRIE,-35.41187790782879,149.1090435432067
FADDEN,-35.401898261133525,149.1175559891058
MACARTHUR,-35.405168804450135,149.1315966922507
RICHARDSON,-35.42791201574735,149.11383876030575
GILMORE,-35.41507740365984,149.1382410450447
CHISHOLM,-35.42202790984856,149.1247934328234
