loca_2,representative_point_lat,representative_point_lng
LYNEHAM,-35.24302843,149.1245312606623
DICKSON,-35.254377864999995,149.1397984001033
O'CONNOR,-35.254779525000004,149.11474488222495
AINSLIE,-35.264930585,149.14581455222094
TURNER,-35.265238505,149.12650702862481
BRADDON,-35.26923535,149.13526037459354
ACTON,-35.281116655,149.1149896426308
CITY,-35.28130482,149.12884070005006
REID,-35.28260826,149.14234003823657
CAMPBELL,-35.288699715,149.15490881708087
RUSSELL,-35.29775151,149.15069097722306
DOWNER,-35.24251319,149.14327154254892
WATSON,-35.234849624999995,149.15712093880944
HACKETT,-35.24983652,149.16266925139195
PARKES,-35.29609755,149.13622738636064
YARRALUMLA,-35.300856035,149.09981132943204
CAPITAL HILL,-35.308181865,149.12443490570303
BARTON,-35.307923165,149.1371109961562
DEAKIN,-35.31969309,149.1018988191368
FORREST,-35.316930065,149.12497627219892
KINGSTON,-35.31440746,149.1464978685471
NARRABUNDAH,-35.335116389999996,149.14888206721415
FYSHWICK,-35.322439745,149.1698725521399
GRIFFITH,-35.326507625000005,149.13651322728145
RED HILL,-35.332981805,149.12329096724082
PIALLIGO,-35.30895619,149.1805664515001
HUGHES,-35.333032994999996,149.09541287284367
CURTIN,-35.32332339,149.0757451128391
LYONS,-35.340086145,149.07414451843857
GARRAN,-35.34050044,149.1062247541536
PEARCE,-35.362980825,149.08359347893781
TORRENS,-35.37118079,149.08698552692113
MAWSON,-35.36252123,149.09896412490434
FARRER,-35.376252165,149.10216439806615
O'MALLEY,-35.35381469,149.11282125256827
ISAACS,-35.36832923,149.11514419761994
CHIFLEY,-35.353877565000005,149.07800298490417
PHILLIP,-35.346700095,149.09156054164572
WESTON,-35.331073700000005,149.05850535211812
WARAMANGA,-35.35213666,149.06200229664796
FISHER,-35.360396945,149.05779179531115
CHAPMAN,-35.35458514,149.0367709198817
RIVETT,-35.347687235,149.03677451978996
DUFFY,-35.334767924999994,149.03048606260404
HOLDER,-35.333921045,149.04600302239731
STIRLING,-35.34927693,149.0497527424231
GIRALANG,-35.210417905,149.09780549284451
KALEEN,-35.22666527,149.111252790709
BRUCE,-35.246113820000005,149.09324676692543
ARANDA,-35.257765085,149.08092849738048
COOK,-35.2604025,149.06630728545778
MACQUARIE,-35.25184792,149.06504617465833
BELCONNEN,-35.235899595,149.06782051204772
FLOREY,-35.226719075,149.0481038650963
PAGE,-35.237599630000005,149.05000008647286
WEETANGERA,-35.250487675,149.04955263113914
HAWKER,-35.24740162,149.03575198251332
SCULLIN,-35.234427655000005,149.0401182335554
LATHAM,-35.21665811,149.03053510463496
HIGGINS,-35.233284805,149.0271257033025
HOLT,-35.224565135,149.01403686124183
MACGREGOR,-35.208881285,149.01215398664522
CHARNWOOD,-35.200474395,149.03378561989285
FLYNN,-35.20615313,149.0421752546252
MELBA,-35.21016004,149.05457981633805
EVATT,-35.21107626,149.07126927305006
