loca_2,centroid_lat,centroid_lng
FINGAL,-38.4166503666745,144.8546330874462
FISH CREEK,-38.72841804309156,146.07272934542414
FISH POINT,-35.451583583522535,143.73059052925282
FISKVILLE,-37.680351587617466,144.23190427210216
FITZROY,-37.800908698554814,144.97915726476086
FITZROY NORTH,-37.783896646980125,144.9842952921334
FLAGGY CREEK,-37.75347206627642,147.4802238220667
FLAGSTAFF,-37.04851450878949,143.77336207224718
AXEDALE,-36.76592936330692,144.52404395708123
FLAMINGO BEACH,-38.26997545789731,147.31367710304355
FLEMINGTON,-37.786751465977375,144.91929294819053
FLINDERS,-38.45881221237397,144.97839636395352
FLORA HILL,-36.781176128738956,144.29562463943435
FLOWERDALE,-37.33206899817891,145.302750137398
FLYNN,-38.19652723661885,146.6758991149536
FLYNNS CREEK,-38.25254934550445,146.64200624905098
FOOTSCRAY,-37.798155947190615,144.8971953365505
FORBES,-37.31353154284259,144.89040268637604
FOREST HILL,-37.83986846926754,145.17105162714364
AYRFORD,-38.437545283778725,142.8523584914646
FORGE CREEK,-37.93210278187247,147.62935730432332
FORREST,-38.510017181160435,143.69997840428584
FOSTER,-38.67254647809711,146.19928867358368
FOSTER NORTH,-38.60624013469255,146.16398486608983
FOSTERVILLE,-36.69687106227667,144.47929034603195
FOXHOW,-38.05368797875129,143.47752731847928
FRAMLINGHAM,-38.260429430623844,142.693980395462
FRAMLINGHAM EAST,-38.20066487360041,142.71212370904956
FRANKLINFORD,-37.241949036962055,144.0930945834872
FRANKSTON,-38.14816767278835,145.14567973039502
BACCHUS MARSH,-37.676413355662845,144.44631189301325
FRANKSTON NORTH,-38.12392414658536,145.1638572837935
FRANKSTON SOUTH,-38.17648382791935,145.1295564182292
FREEBURGH,-36.77075793145984,147.05888312111273
FRENCH ISLAND,-38.34990134043995,145.36480469314887
FRENCHMANS,-37.00565760950571,143.2050533933729
FRESHWATER CREEK,-38.27029834262172,144.24958302743497
FRYERSTOWN,-37.1393482854373,144.26517054718443
FULHAM,-38.0813646488476,146.9699671595664
FUMINA,-37.91034656112247,146.0893911007732
FUMINA SOUTH,-37.959598524872376,146.1213320432298
BADDAGINNIE,-36.604151306157746,145.86306799734922
FYANS CREEK,-37.09381283230978,142.57661235170195
FYANSFORD,-38.13028024905867,144.28948829172575
GAINSBOROUGH,-38.227304125340176,145.9759679577831
GANNAWARRA,-35.7175064536243,144.14026691513862
GAPSTED,-36.50242903353771,146.69917026500082
GARDENVALE,-37.89812548870614,145.00912752612328
GARFIELD,-38.100368155201984,145.66978022712942
GARFIELD NORTH,-38.040431890540596,145.67923554533175
GARIBALDI,-37.731540522241936,143.85850639839535
GARVOC,-38.2904579821832,142.80079422731532
BADGER CREEK,-37.69005834016789,145.540066051409
GATEWAY ISLAND,-36.09658379640844,146.89610205088545
GATUM,-37.3824052394288,141.95318388684893
GAZETTE,-37.915144272984215,142.1512947251672
GEELONG,-38.14991858222468,144.3617190617433
GEELONG WEST,-38.13937818930079,144.3448832124175
