loca_2,representative_point_lat,representative_point_lng
VICTORIA POINT,-27.582416885,153.3018658384905
VICTORIA VALE,-19.394263289999998,142.64915643784445
VICTORY HEIGHTS,-26.17174988,152.69207376525006
VILLENEUVE,-26.949581445,152.632255100002
VINCENT,-19.28324593,146.76413736027587
VINEGAR HILL,-27.4655339,152.25752807701713
VIRGINIA,-27.37686299,153.06353032424494
WACOL,-27.587768920000002,152.91824187386402
BOGANDILLA,-26.482349120000002,149.77905549485627
WAHOON,-25.895034235,151.71996321238095
WAIKOLA,-26.13155111,149.25604618170001
WAINUI,-27.326517170000002,151.4538882771197
WAIRUNA,-18.388624245000003,145.5052312132783
WAKERLEY,-27.48423048,153.15539786101044
WALHALLOW,-26.334383615,148.25388323327473
WALKAMIN,-17.14113038,145.41589331910146
WALKERS POINT,-25.503959035,152.74433736158977
WALKERSTON,-21.15849252,149.0631284340334
WALKERVALE,-24.882590945,152.35873374782705
BOGIE,-20.39040864,147.96670818070828
WALLACES CREEK,-28.065634155,152.6521325926306
WALLAMAN,-18.66498837,145.85337983258066
WALLANGARRA,-28.898249215,151.91270036990608
WALLAROO,-23.63496602,149.55704766957308
WALLAVILLE,-25.08677229,151.95608531325757
WALLIEBUM,-25.415277185,152.6981772325529
WALLIGAN,-25.337253985,152.76560047088407
WALLOON,-27.60547808,152.6655003837299
WALLU,-25.950312465,152.90431083576092
WALLUMBILLA,-26.593760449999998,149.18520394365288
BOHLE,-19.24695767,146.7239224492065
WALLUMBILLA NORTH,-26.43655682,149.25680343372682
WALLUMBILLA SOUTH,-26.760024715,149.18314729613002
WALMUL,-23.71899097,150.36408854403
WALTER HILL,-17.829891215,145.82243569303154
WALTER LEVER ESTATE,-17.722556755,145.97373454706684
WALTERHALL,-23.627427275,150.3837740480825
WAMURAN,-27.026199615000003,152.87066450661467
WAMURAN BASIN,-27.048626125,152.8238464082849
WANDAL,-23.369226345,150.49707382177826
WANDOAN,-26.134128465,149.90235170194904
BOHLE PLAINS,-19.290670595,146.67326244886
WANGAN,-17.574515055,146.00574981017564
WANGARATTA,-19.82439149,147.46998698652266
WANGETTI,-16.660522475,145.56010564760695
WANJURU,-17.449085099999998,146.05694066965413
WANORA,-27.516035215,152.6728997255468
WARANA,-26.719936349999998,153.13126419385753
WARBURTON,-22.4694469,140.82373026117995
WARD,-25.950263695,146.19870329215854
WARENDA,-22.421357665000002,140.23596415652824
WARKON,-26.925470035,149.39130164630177
BOIGU ISLAND,-9.26002724,142.21407031854258
WARNER,-27.31296045,152.95074453113676
WARNOAH,-24.689601315,149.90809629164568
WARNUNG,-26.150529915,151.83344096791487
WARRA,-26.925813755,150.94675878798972
WARRAMI,-18.038093705,145.79078783803834
WARRILL VIEW,-27.830825605,152.60205282547506
WARROO,-28.638436275,151.4386742165567
WARRUBULLEN,-17.678734454999997,146.01920489785368
WARWICK,-28.21663308,152.02459361796275
WASHPOOL,-27.83724716,152.76684758143804
BOKARINA,-26.738833855,153.12963359038463
WATALGAN,-24.63835531,152.00225691341728
WATERANGA,-25.390552470000003,151.8342365113106
WATERFORD,-27.705433175000003,153.13151615085974
WATERFORD WEST,-27.69288331,153.12918338622376
WATERLOO,-24.74147946,151.9977929800658
WATSONS CROSSING,-29.122310605,151.33101602542985
WATSONVILLE,-17.31872234,145.33523789006338
WATTLE CAMP,-26.465467185,151.96157268283645
WATTLE GROVE,-26.566043175,151.66986060880976
WATTLE RIDGE,-28.003541305,150.97869387589492
BOLLIER,-26.457488205,152.7302768260538
WATTLEBANK,-23.119569915,150.47466851529873
WAUGH POCKET,-17.455194845,145.94530193599826
WAVELL HEIGHTS,-27.393902805,153.04731961439842
WAVERLEY,-21.687416505,139.0188476884818
WEALWANDANGIE,-24.49036546,148.01334900160202
WEBB,-17.53031017,146.05019024963494
WEENGALLON,-28.384901495,149.08189537838885
WEERRIBA,-22.793751365,150.67558771826936
WEIPA AIRPORT,-12.678596814999999,141.92370420198358
WEIR RIVER,-27.721089035,150.6323153518092
ALEXANDRA HILLS,-27.539165115,153.22806751618748
BOLLON,-28.295436985000002,147.30586742616921
WELCOME CREEK,-24.770107605,152.25888545702455
WELLCAMP,-27.55139617,151.82203081751663
